,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
76,3990,1985,1915,1037,878,53,033,007700,53033007700,2993,469,165,72,8,449,168,63,11,247300,780,1916,44894,136,105,111,156,102,123,73,156,97,165,177,261,128,31,33,62
77,5097,3620,2107,1763,344,53,033,007800,53033007800,3912,661,243,363,69,625,502,156,75,450200,878,2104,82635,51,48,57,74,39,118,63,72,74,75,237,275,171,210,182,358
78,4232,2450,2393,658,1735,53,033,007900,53033007900,3408,464,107,13,25,580,138,24,15,193600,657,2397,30417,454,158,188,233,146,182,163,143,108,185,148,162,39,50,6,32
79,3410,2470,2359,846,1513,53,033,008001,53033008001,3023,694,155,98,12,277,141,57,35,240300,658,2411,38361,382,163,167,167,101,127,147,145,138,184,72,195,140,67,71,145
80,2762,1955,1907,290,1617,53,033,008002,53033008002,2308,355,146,75,57,316,137,23,19,538600,526,1863,28949,379,201,186,106,78,74,68,89,62,103,82,129,62,38,51,155
81,3477,2325,1962,441,1521,53,033,008100,53033008100,3145,368,169,47,25,263,94,83,45,297500,340,1956,23404,668,187,54,122,47,57,28,21,41,72,192,88,95,54,125,105
82,2875,2053,1961,317,1644,53,033,008200,53033008200,2489,287,150,52,23,435,122,0,9,190100,718,2025,30625,324,172,170,184,142,190,135,52,101,191,60,129,69,51,32,23
83,2508,1796,1737,224,1513,53,033,008300,53033008300,1989,325,126,15,8,322,89,37,13,265000,693,1641,30671,236,139,124,132,164,125,153,111,72,96,100,121,8,15,8,37
84,3838,2636,2643,306,2337,53,033,008400,53033008400,2970,436,171,73,30,435,86,29,14,242000,631,2675,25821,556,221,192,315,301,213,135,105,75,118,165,92,62,50,42,33
85,6025,2990,1569,42,1527,53,033,008500,53033008500,4534,164,64,26,13,150,49,6,5,224000,554,1572,16760,500,198,177,171,60,71,42,42,28,90,138,16,25,0,6,8
86,4098,2266,1272,179,1093,53,033,008600,53033008600,1982,259,38,18,22,150,39,18,4,195700,602,1275,21659,336,92,171,113,56,60,77,56,8,34,142,73,23,21,0,13
87,3790,1324,1507,505,1002,53,033,008700,53033008700,2630,257,74,11,11,255,70,15,0,183800,612,1514,31917,254,137,118,121,81,89,91,99,35,124,102,99,68,45,27,24
88,3506,1201,1459,848,611,53,033,008800,53033008800,2445,279,80,41,8,357,94,26,59,268000,648,1469,39514,169,136,57,110,92,107,67,68,22,159,135,181,93,24,27,22
89,4596,1863,1863,927,936,53,033,008900,53033008900,3045,418,172,117,17,405,166,78,27,282500,781,1830,47431,211,100,64,115,92,82,99,117,54,169,188,177,97,69,70,126
90,2134,280,888,248,640,53,033,009000,53033009000,1551,113,30,7,10,69,62,13,0,188600,363,926,20104,328,60,74,45,87,30,18,60,16,86,29,41,28,7,11,6
91,2083,315,975,18,957,53,033,009100,53033009100,1535,86,0,0,0,48,14,0,9,283300,266,885,13057,347,167,124,48,49,45,37,8,9,6,27,6,6,0,0,6
92,1836,783,1162,50,1112,53,033,009200,53033009200,1810,169,52,0,30,100,22,6,6,350000,253,1245,11265,580,116,118,77,74,26,48,18,12,43,43,32,22,13,0,23
93,2602,1068,994,458,536,53,033,009300,53033009300,2024,319,84,6,12,195,64,14,4,225300,700,909,42208,89,72,40,72,66,60,29,35,70,49,130,97,49,5,35,11
94,5202,1088,2048,856,1192,53,033,009400,53033009400,3882,311,34,13,8,348,74,27,0,180200,588,2119,34382,366,149,105,138,128,195,148,96,113,104,174,194,122,51,17,19
95,5717,2948,2313,1575,738,53,033,009500,53033009500,4101,491,262,144,59,526,338,141,54,301400,613,2306,53447,328,163,37,57,82,126,105,114,86,152,235,336,130,65,131,159
96,4919,4408,2598,1551,1047,53,033,009600,53033009600,4174,639,211,132,83,625,261,71,15,355500,789,2614,60245,83,121,86,93,122,177,166,116,105,228,318,366,257,147,91,138
97,5323,4663,2858,1445,1413,53,033,009701,53033009701,4320,755,355,133,53,741,315,61,9,352700,830,2860,61582,81,64,126,96,149,211,91,173,190,218,412,392,273,76,122,186
98,5011,4368,2209,1721,488,53,033,009702,53033009702,3824,519,177,92,23,637,178,69,19,247500,919,2210,62557,58,71,59,48,133,154,120,81,93,221,208,459,242,141,54,68
99,5820,4985,2782,1746,1036,53,033,009800,53033009800,4459,637,199,89,22,666,231,85,0,267400,739,2798,57703,133,79,192,168,125,129,132,87,148,274,287,429,267,180,84,84
100,4338,2985,2110,1038,1072,53,033,009900,53033009900,3331,463,89,92,15,433,128,25,0,206000,789,2111,46684,153,88,71,80,151,151,151,162,97,205,252,245,129,76,55,45
101,8139,1810,2944,1478,1466,53,033,010000,53033010000,5543,515,141,67,8,550,89,29,23,195500,558,2953,37122,243,289,184,214,248,217,197,145,138,304,387,183,98,42,42,22
102,5943,2069,2163,1417,746,53,033,010100,53033010100,4068,418,182,71,39,537,219,48,32,218500,566,2159,47926,261,130,120,125,87,107,111,93,82,187,228,283,155,105,45,40
103,4870,2380,1879,1532,347,53,033,010200,53033010200,3423,351,210,58,51,502,231,78,44,235700,750,1868,60125,105,68,80,74,68,76,98,79,94,190,298,260,170,68,84,56
104,6178,1321,2219,1072,1147,53,033,010300,53033010300,3959,263,121,53,20,349,132,24,6,176000,602,2216,39554,211,111,124,194,138,184,164,146,113,222,195,202,81,65,28,38
105,9002,1638,2773,2115,658,53,033,010400,53033010400,6233,537,112,21,24,450,104,45,9,180200,831,2782,48697,83,205,100,220,170,196,180,150,124,260,358,372,151,102,80,31
106,5481,4553,2664,1302,1362,53,033,010500,53033010500,4362,538,159,32,14,682,134,77,0,229700,756,2659,43872,205,146,156,123,236,204,158,120,93,299,258,364,162,61,33,41
107,7075,5942,3524,2095,1429,53,033,010600,53033010600,5609,808,261,155,26,883,313,87,30,256100,753,3526,54583,233,97,269,177,192,125,190,147,165,277,463,593,269,53,127,149
108,6140,1779,2111,661,1450,53,033,010700,53033010700,3493,161,34,14,5,229,101,17,0,159800,457,2121,27574,365,301,182,158,104,134,90,100,136,188,122,151,62,5,18,5
109,4318,1926,1415,1039,376,53,033,010800,53033010800,2736,212,26,21,0,277,93,28,0,164100,844,1456,53198,86,47,96,43,55,86,102,76,98,166,225,199,106,32,31,8
110,1181,667,585,212,373,53,033,010900,53033010900,844,90,11,0,9,48,0,9,7,134300,564,546,33654,80,50,16,48,43,43,21,31,7,76,73,14,20,6,0,18
111,6260,519,1864,938,926,53,033,011000,53033011000,3798,218,40,0,10,230,64,11,0,178600,515,1865,36754,287,145,103,142,86,126,124,70,71,187,172,204,99,9,40,0
112,4560,478,1393,818,575,53,033,011101,53033011101,2933,204,9,21,0,186,47,8,0,158100,556,1393,40293,114,126,88,96,63,117,85,107,98,155,139,120,48,16,21,0
113,4360,1506,1413,794,619,53,033,011102,53033011102,2840,252,117,87,0,331,157,59,0,242600,578,1416,43917,114,85,92,135,78,87,68,75,101,76,184,100,95,54,43,29
114,3717,1263,1230,555,675,53,033,011200,53033011200,2314,43,22,6,0,55,15,0,0,119700,535,1228,30917,100,142,73,137,129,101,59,26,37,87,135,88,55,8,26,25
115,5975,3085,2189,1417,772,53,033,011300,53033011300,3820,337,94,26,12,261,76,59,0,155900,738,2195,46838,172,83,168,103,138,110,145,116,139,246,249,237,140,60,73,16
116,7904,3754,3257,1480,1777,53,033,011400,53033011400,4962,455,100,17,0,523,102,26,0,150000,748,3271,36849,444,233,230,211,207,221,223,265,179,315,320,280,102,0,28,13
117,4173,3299,1931,1386,545,53,033,011500,53033011500,3151,401,97,5,14,409,96,29,6,187400,714,1933,51132,113,79,94,119,91,75,140,124,93,227,326,250,96,75,15,16
118,6111,5386,2805,2087,718,53,033,011600,53033011600,4819,697,206,80,114,693,303,63,15,292100,823,2806,61340,80,64,144,105,162,171,122,151,134,218,346,365,201,143,212,188
119,5192,674,1588,1204,384,53,033,011700,53033011700,3358,233,27,17,11,208,54,36,0,181400,748,1583,47621,143,94,69,49,78,101,81,135,71,182,190,248,80,30,0,32
120,7497,1625,2659,1381,1278,53,033,011800,53033011800,4855,284,139,44,29,355,182,58,20,162100,607,2643,40592,245,183,202,178,125,149,226,149,193,221,292,181,155,42,58,44
121,7161,2136,2475,2055,420,53,033,011900,53033011900,4812,454,91,54,0,386,82,54,13,169800,1058,2478,50091,85,75,139,130,118,160,187,156,186,279,242,384,237,55,21,24
122,3401,2775,1423,1153,270,53,033,012000,53033012000,2482,273,104,9,0,358,98,43,0,184200,894,1412,55735,64,37,59,16,96,90,64,115,72,132,228,299,61,21,19,39
123,2745,2448,1192,1050,142,53,033,012100,53033012100,2138,261,86,53,28,324,87,55,0,277900,897,1190,67875,27,11,44,24,34,32,67,80,89,116,147,173,150,45,70,81
124,3235,2935,1220,1068,152,53,033,020100,53033020100,2353,321,136,45,52,451,130,32,10,277200,1100,1216,65303,52,18,56,43,48,75,46,71,24,142,130,167,162,49,62,71
125,5624,4677,2137,1611,526,53,033,020200,53033020200,4124,543,176,67,43,741,151,43,23,237800,929,2125,55208,59,95,83,136,159,109,94,148,76,163,236,356,190,115,61,45
126,6081,4215,2519,1385,1134,53,033,020300,53033020300,4096,425,196,92,35,489,133,66,20,192800,840,2517,45798,187,121,114,113,149,148,207,193,119,264,321,355,152,43,31,0
127,3544,2618,1371,888,483,53,033,020401,53033020401,2440,299,48,15,42,165,98,41,21,180800,827,1375,50516,22,69,31,42,104,80,116,114,100,174,157,228,81,43,14,0
128,5502,4178,2153,1396,757,53,033,020402,53033020402,3691,517,126,117,63,474,200,46,27,223900,736,2163,55016,82,52,68,114,73,236,144,100,126,218,243,313,167,92,80,55
129,6326,4685,2574,1735,839,53,033,020500,53033020500,4564,565,67,59,46,596,205,68,16,180200,781,2579,50276,210,117,67,101,154,194,144,145,148,259,350,461,104,70,25,30
130,3634,2555,1307,1079,228,53,033,020600,53033020600,2511,304,69,28,31,352,77,25,6,196400,1082,1323,56328,48,24,56,37,44,45,85,130,81,156,227,221,75,56,26,12
131,3302,2375,1407,752,655,53,033,020700,53033020700,2323,285,52,18,0,232,76,10,17,196400,698,1409,41510,155,114,94,43,109,96,79,42,59,87,312,90,80,10,27,12
132,4501,3917,1756,1368,388,53,033,020800,53033020800,3136,524,147,78,93,546,156,41,30,285000,761,1753,66586,107,90,68,68,79,50,36,62,55,162,241,296,117,93,111,118
133,3167,2450,1294,861,433,53,033,020900,53033020900,2276,280,110,48,64,337,117,18,21,220400,698,1297,51218,98,62,43,61,52,84,92,74,45,116,151,161,88,53,28,89
134,5699,3830,2093,1578,515,53,033,021000,53033021000,3857,374,67,95,9,409,84,33,6,194600,849,2090,55449,124,35,36,109,149,97,141,146,89,213,392,307,137,53,30,32
135,4054,2872,1574,1013,561,53,033,021100,53033021100,2801,270,85,24,21,384,81,12,22,185100,818,1574,47353,93,67,66,86,106,110,65,98,176,173,185,161,99,72,12,5
136,4172,3217,1653,933,720,53,033,021300,53033021300,3223,381,192,35,63,411,155,30,23,231600,788,1647,51850,98,58,39,84,91,155,57,155,68,115,162,256,114,80,68,47
137,3815,3319,1400,1250,150,53,033,021400,53033021400,2624,345,172,61,64,485,177,54,27,255300,1010,1421,68165,19,41,36,49,44,94,28,66,76,142,189,267,148,85,87,50
