,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
6018,06065031100,06,065,31100,4499,1739,4499,3066,211,262,723,879,288,453,1739,57,110,115,35,40,45,97,67,98,59,72,42,96,74,105,97,48,59,88,85,137,64,32,17,35846,1710,974,637,119500
6019,06065031200,06,065,31200,6215,2168,6215,3883,282,288,908,1020,392,650,2168,27,78,39,46,40,104,86,36,53,114,98,99,136,53,82,66,78,131,114,153,250,174,48,42,42287,2145,1617,753,132000
6020,06065031300,06,065,31300,2856,680,2856,1506,581,393,299,148,34,7,680,27,73,35,44,30,51,41,43,30,26,48,7,15,39,24,13,30,11,21,9,17,15,15,12,24767,678,449,447,86100
6021,06065031401,06,065,31401,5040,2026,5040,3278,161,415,900,903,318,379,2026,56,164,66,51,110,102,71,128,75,124,139,51,93,60,93,23,100,46,90,85,154,117,12,5,31187,2035,981,544,126100
6022,06065031402,06,065,31402,5998,2263,5998,4007,290,590,1196,1086,303,322,2263,88,200,65,113,88,67,97,120,77,111,104,34,136,70,107,68,62,67,210,51,172,93,41,0,32610,2240,1043,622,109300
6023,06065031501,06,065,31501,5754,2187,5754,3381,185,340,933,937,396,419,2187,92,268,109,117,114,54,97,107,115,79,78,91,89,28,71,22,126,60,149,48,174,88,11,0,28149,2152,776,563,112900
6024,06065031502,06,065,31502,6605,2329,6605,4130,232,588,1333,1176,298,383,2329,74,177,98,64,58,135,90,89,133,72,107,69,122,115,111,80,139,65,128,114,195,89,5,0,34946,2324,1388,578,124800
6025,06065031600,06,065,31600,7849,2692,7849,4435,323,656,1478,1150,370,337,2692,118,213,81,93,109,89,145,169,212,114,103,90,136,125,110,94,81,117,118,104,139,86,12,8,30073,2682,1237,588,115700
6026,06065031700,06,065,31700,13039,3924,13039,7497,743,957,1749,1961,778,879,3924,98,177,124,108,116,119,125,214,129,103,153,131,153,118,160,136,135,119,244,225,488,239,133,54,41469,3793,2725,669,140400
6027,06065040100,06,065,40100,6920,1803,6920,3834,611,927,1071,856,244,117,1803,109,85,72,41,80,34,108,132,85,74,59,27,52,26,101,74,91,49,91,79,139,129,26,14,34583,1852,1497,568,126800
