,FIPS,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,trtid_base,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,trtid00
45,53033004500,2414.0,2047.0,948.0,570.0,378.0,53,033,004500,53033004500,1769.0,362.0,100.0,31.0,25.0,462.0,102.0,35.0,0.0,263200.0,1149.0,980.0,68300.0,7.0,22.0,32.0,44.0,27.0,60.0,55.0,36.0,30.0,93.0,175.0,176.0,104.0,74.0,28.0,17.0,53033004500
46,53033004600,3023.0,2647.0,1371.0,873.0,498.0,53,033,004600,53033004600,2257.0,532.0,125.0,66.0,72.0,462.0,261.0,71.0,13.0,318500.0,954.0,1344.0,62159.0,62.0,52.0,45.0,70.0,85.0,33.0,49.0,103.0,63.0,91.0,115.0,198.0,166.0,99.0,62.0,51.0,53033004600
47,53033004700,4916.0,4014.0,2850.0,609.0,2241.0,53,033,004700,53033004700,3937.0,542.0,151.0,27.0,36.0,614.0,239.0,55.0,20.0,198300.0,691.0,2854.0,34667.0,285.0,203.0,218.0,209.0,296.0,228.0,224.0,199.0,111.0,243.0,305.0,231.0,37.0,50.0,6.0,9.0,53033004700
48,53033004800,4325.0,3709.0,2140.0,1115.0,1025.0,53,033,004800,53033004800,3488.0,625.0,166.0,67.0,37.0,745.0,284.0,8.0,36.0,266600.0,855.0,2143.0,53948.0,72.0,92.0,78.0,106.0,97.0,144.0,125.0,79.0,156.0,246.0,284.0,388.0,127.0,84.0,57.0,8.0,53033004800
49,53033004900,5525.0,4781.0,3335.0,741.0,2594.0,53,033,004900,53033004900,4487.0,905.0,293.0,112.0,111.0,932.0,329.0,102.0,77.0,252400.0,748.0,3329.0,38858.0,342.0,262.0,107.0,181.0,273.0,254.0,293.0,264.0,220.0,228.0,335.0,320.0,99.0,62.0,39.0,50.0,53033004900
50,53033005000,3252.0,2758.0,1698.0,485.0,1213.0,53,033,005000,53033005000,2558.0,521.0,186.0,50.0,79.0,528.0,226.0,9.0,34.0,304500.0,786.0,1695.0,45826.0,65.0,77.0,81.0,112.0,86.0,167.0,147.0,93.0,83.0,185.0,179.0,184.0,98.0,58.0,31.0,49.0,53033005000
51,53033005100,3453.0,2969.0,1589.0,896.0,693.0,53,033,005100,53033005100,2616.0,453.0,254.0,64.0,55.0,583.0,382.0,67.0,20.0,337900.0,845.0,1561.0,61995.0,54.0,41.0,103.0,74.0,55.0,65.0,71.0,64.0,113.0,103.0,234.0,210.0,180.0,80.0,25.0,89.0,53033005100
52,53033005200,5281.023278167107,3861.0130110957757,2607.0020442061304,620.0000736650858,1987.0019705410446,53,033,005200,106066010502,2824.0041068285323,529.0012891390012,352.0009023973008,75.00005524881433,61.000055248814334,542.000432782379,159.000331492886,82.00007366508578,79.0,288700.0,777.006040537034,2609.002384907152,37816.29104154578,326.0006261532291,249.0001197057644,218.00014733017156,131.00018416271445,129.00007366508578,131.0001197057644,193.0001565383073,165.0,121.00013812203584,212.00017495457874,253.00046040678612,211.00013812203585,98.00004604067861,68.0,86.0,18.0,106066010502
53,53033005301,8509.0,5925.0,2346.0,97.0,2249.0,53,033,005301,53033005301,1929.0,330.0,203.0,36.0,37.0,318.0,95.0,64.0,34.0,139900.0,625.0,2344.0,17437.0,790.0,266.0,229.0,218.0,204.0,120.0,141.0,67.0,45.0,55.0,86.0,65.0,0.0,37.0,0.0,21.0,53033005301
54,53033005302,2527.976721832895,1412.9869889042247,221.99795579386972,7.999926334914224,213.9980294589555,53,033,005302,53033005302,445.99589317146797,139.99871086099893,97.99909760269924,5.999944751185668,5.999944751185668,46.99956721762106,35.99966850711401,7.999926334914224,0.0,0.0,655.9939594629664,258.997615092848,31606.708958454234,67.99937384677091,12.999880294235613,15.999852669828448,19.99981583728556,7.999926334914224,12.999880294235613,16.999843461692727,0.0,14.99986187796417,18.999825045421282,49.999539593213896,14.99986187796417,4.99995395932139,0.0,0.0,0.0,53033005302
55,53033005400,4241.0,3689.0,2259.0,857.0,1402.0,53,033,005400,106066010600,3405.0,673.0,277.0,100.0,142.0,768.0,247.0,76.0,71.0,271600.0,745.0,2258.0,49451.0,124.0,128.0,117.0,134.0,111.0,143.0,146.0,97.0,147.0,228.0,288.0,225.0,124.0,97.0,84.0,65.0,106066010600
56,53033005600,6229.0,5627.0,2687.0,2463.0,224.0,53,033,005600,53033005600,4812.0,738.0,400.0,340.0,110.0,1017.0,333.0,150.0,41.0,461900.0,1338.0,2700.0,87578.0,52.0,32.0,41.0,68.0,66.0,85.0,119.0,109.0,102.0,220.0,207.0,466.0,311.0,210.0,273.0,339.0,53033005600
57,53033005700,5990.0,5059.0,2711.0,1804.0,907.0,53,033,005700,53033005700,4491.0,851.0,208.0,87.0,24.0,776.0,197.0,106.0,10.0,287600.0,769.0,2711.0,60410.0,124.0,125.0,73.0,128.0,153.0,154.0,186.0,104.0,123.0,165.0,375.0,422.0,243.0,99.0,111.0,126.0,53033005700
58,53033005801,4543.0,3727.0,2475.0,966.0,1509.0,53,033,005801,53033005801,3545.0,560.0,210.0,21.0,29.0,642.0,224.0,48.0,6.0,229800.0,859.0,2470.0,48906.0,138.0,101.0,70.0,106.0,178.0,171.0,179.0,162.0,158.0,316.0,297.0,294.0,153.0,65.0,49.0,33.0,53033005801
59,53033005802,4817.0,3948.0,2417.0,947.0,1470.0,53,033,005802,53033005802,3767.0,713.0,178.0,79.0,45.0,644.0,236.0,49.0,15.0,292400.0,757.0,2424.0,47021.0,100.0,135.0,104.0,95.0,145.0,218.0,145.0,232.0,89.0,243.0,173.0,361.0,200.0,54.0,65.0,65.0,53033005802
60,53033005900,6715.0,5900.0,2543.0,1446.0,1097.0,53,033,005900,53033005900,3921.0,775.0,355.0,140.0,70.0,754.0,323.0,98.0,23.0,357800.0,745.0,2548.0,59070.0,87.0,135.0,90.0,141.0,151.0,121.0,52.0,156.0,145.0,228.0,254.0,323.0,345.0,104.0,107.0,109.0,53033005900
