,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
449,4179.0,3377.0,2143.0,92.0,269.0,868.0,780.0,202.0,603.0,159.0,102300.0,479.0,30841.0,659.0,1528.0,59.0,115.0,84.0,111.0,82.0,81.0,151.0,122.0,114.0,97.0,165.0,83.0,137.0,64.0,126.0,53.0,31.0,57.0,124.0,38.0,134.0,58.0,34.0,16.0,7.0,53,033,026200,53033026200
450,1162.0,933.0,579.0,42.0,132.0,390.0,161.0,33.0,44.0,13.0,72600.0,424.0,19659.0,316.0,234.0,23.0,96.0,23.0,41.0,78.0,33.0,44.0,17.0,22.0,20.0,45.0,0.0,20.0,23.0,14.0,0.0,14.0,26.0,15.0,0.0,6.0,0.0,19.0,0.0,0.0,53,033,026300,53033026300
451,5073.0,4023.0,2195.0,229.0,306.0,1156.0,799.0,315.0,538.0,158.0,99900.0,477.0,30309.0,983.0,1202.0,93.0,124.0,54.0,99.0,73.0,85.0,137.0,156.0,142.0,124.0,85.0,99.0,88.0,52.0,60.0,38.0,40.0,48.0,143.0,74.0,173.0,145.0,45.0,9.0,9.0,53,033,026400,53033026400
452,2387.0,1064.0,758.0,224.0,198.0,379.0,228.0,42.0,35.0,24.0,80700.0,207.0,11205.0,164.0,623.0,158.0,181.0,83.0,47.0,59.0,47.0,19.0,8.0,13.0,5.0,12.0,6.0,30.0,0.0,34.0,0.0,11.0,4.0,13.0,4.0,18.0,6.0,0.0,0.0,0.0,53,033,026500,53033026500
453,2118.0,1541.0,781.0,151.0,201.0,454.0,315.0,112.0,129.0,20.0,83700.0,513.0,27837.0,500.0,275.0,32.0,59.0,47.0,31.0,31.0,54.0,39.0,52.0,42.0,26.0,40.0,25.0,21.0,10.0,48.0,37.0,40.0,0.0,47.0,42.0,29.0,17.0,12.0,0.0,0.0,53,033,026600,53033026600
454,5163.0,4405.0,2001.0,133.0,390.0,1035.0,955.0,209.0,567.0,264.0,127800.0,485.0,36767.0,1436.0,536.0,52.0,134.0,86.0,56.0,81.0,29.0,86.0,80.0,76.0,105.0,67.0,46.0,145.0,16.0,108.0,73.0,48.0,30.0,165.0,108.0,190.0,106.0,89.0,0.0,25.0,53,033,026700,53033026700
455,8214.0,5937.0,3308.0,506.0,932.0,1555.0,1297.0,378.0,489.0,91.0,83800.0,453.0,26973.0,1630.0,1763.0,200.0,292.0,192.0,209.0,140.0,122.0,215.0,153.0,166.0,126.0,157.0,179.0,127.0,171.0,90.0,62.0,82.0,100.0,130.0,81.0,151.0,136.0,27.0,0.0,0.0,53,033,026800,53033026800
456,1389.0,1198.0,521.0,56.0,138.0,286.0,223.0,52.0,81.0,70.0,85800.0,602.0,32415.0,369.0,138.0,13.0,21.0,0.0,7.0,13.0,31.0,28.0,47.0,31.0,27.0,44.0,42.0,24.0,12.0,34.0,10.0,29.0,15.0,25.0,9.0,42.0,17.0,0.0,0.0,0.0,53,033,026900,53033026900
457,3015.0,2623.0,1136.0,112.0,197.0,680.0,579.0,210.0,177.0,58.0,90200.0,485.0,35507.0,856.0,237.0,3.0,42.0,63.0,29.0,51.0,14.0,33.0,34.0,57.0,42.0,100.0,85.0,74.0,47.0,60.0,25.0,52.0,16.0,91.0,45.0,96.0,35.0,34.0,8.0,0.0,53,033,027000,53033027000
458,2643.0,2359.0,1096.0,128.0,172.0,649.0,406.0,87.0,284.0,28.0,83800.0,433.0,30143.0,521.0,580.0,44.0,132.0,22.0,42.0,60.0,32.0,61.0,40.0,47.0,64.0,70.0,59.0,37.0,28.0,59.0,45.0,29.0,39.0,66.0,32.0,44.0,44.0,0.0,0.0,0.0,53,033,027100,53033027100
