,total_hh,lim_english_spanish_hh,lim_english_indoeuro_hh,lim_english_api_hh,lim_english_other_hh,isolated_hh,prop_isolated_hh,prop_isolated_hh_spanish
415,1677,0,0,0,25,25.0,0.014907573,0.0
416,2877,0,0,71,0,71.0,0.024678484,0.0
417,1251,0,9,0,0,9.0,0.007194245,0.0
418,1573,0,0,0,0,0.0,0.0,0.0
419,2816,19,0,0,0,19.0,0.006747159,0.006747159
420,2350,0,0,0,0,0.0,0.0,0.0
421,1908,7,0,0,0,7.0,0.0036687632,0.0036687632
422,2546,99,24,96,183,402.0,0.15789473,0.038884524
423,3979,11,0,15,0,26.0,0.006534305,0.0027645137
424,1288,77,0,0,0,77.0,0.05978261,0.05978261
425,1170,109,0,0,28,137.0,0.11709402,0.093162395
426,1274,202,0,34,0,236.0,0.18524332,0.15855573
427,1053,87,0,49,8,144.0,0.13675214,0.08262108
428,1935,105,0,8,0,113.0,0.058397934,0.054263566
429,2241,222,0,68,0,290.0,0.12940651,0.09906292
430,2036,150,8,34,0,192.0,0.09430256,0.07367387
431,2263,44,0,42,0,86.0,0.03800265,0.019443218
432,1115,31,0,0,0,31.0,0.02780269,0.02780269
433,1121,8,8,0,10,26.0,0.023193577,0.007136485
434,3386,53,196,23,45,317.0,0.09362079,0.015652688
435,1574,0,9,7,0,16.0,0.010165184,0.0
436,1640,65,41,38,49,193.0,0.11768293,0.039634146
437,1383,0,16,0,0,16.0,0.011569053,0.0
438,699,0,0,17,0,17.0,0.024320457,0.0
439,590,7,0,0,0,7.0,0.011864407,0.011864407
440,1788,10,0,21,0,31.0,0.017337808,0.005592841
441,2040,0,0,9,6,15.0,0.007352941,0.0
442,1449,0,16,0,0,16.0,0.011042098,0.0
443,3698,0,170,50,0,220.0,0.059491616,0.0
444,2566,0,32,0,13,45.0,0.017537022,0.0
445,3104,45,9,0,0,54.0,0.017396906,0.014497423
446,2079,0,21,0,0,21.0,0.01010101,0.0
447,2414,0,14,30,78,122.0,0.050538525,0.0
448,1997,153,42,49,0,244.0,0.12218328,0.076614924
449,2744,37,31,18,17,103.0,0.037536442,0.013483965
450,2386,245,92,10,77,424.0,0.17770328,0.102682315
451,1985,35,9,0,16,60.0,0.0302267,0.017632242
452,1851,270,58,0,117,445.0,0.2404106,0.1458671
453,2429,15,12,26,52,105.0,0.043227665,0.0061753807
454,3718,14,84,0,16,114.0,0.030661646,0.0037654652
455,966,143,0,6,10,159.0,0.16459627,0.14803313
456,1034,111,0,15,0,126.0,0.12185687,0.107350096
457,1852,408,0,5,0,413.0,0.22300217,0.22030237
458,2200,253,6,0,36,295.0,0.13409092,0.115
459,1205,97,0,14,10,121.0,0.10041494,0.08049793
460,1657,147,0,6,0,153.0,0.092335545,0.08871455
461,3002,223,0,23,0,246.0,0.08194537,0.07428381
462,3093,77,12,0,38,127.0,0.04106046,0.024894925
463,2788,99,44,55,15,213.0,0.07639885,0.035509326
464,2313,155,0,23,17,195.0,0.0843061,0.06701254
465,2757,21,0,0,0,21.0,0.007616975,0.007616975
466,966,0,0,2,0,2.0,0.0020703934,0.0
467,914,24,5,4,0,33.0,0.036105033,0.026258206
468,2485,15,0,64,0,79.0,0.031790745,0.0060362173
469,3087,0,0,21,0,21.0,0.006802721,0.0
470,2250,52,12,30,0,94.0,0.04177778,0.02311111
471,1649,8,0,0,0,8.0,0.004851425,0.004851425
472,1830,48,14,26,51,139.0,0.075956285,0.026229508
473,2348,312,0,74,0,386.0,0.16439523,0.13287905
474,2157,7,0,31,0,38.0,0.01761706,0.003245248
475,600,5,0,0,17,22.0,0.036666665,0.008333334
476,0,0,0,0,0,0.0,,
477,3079,0,18,0,0,18.0,0.005846054,0.0
478,1789,11,9,0,0,20.0,0.0111794295,0.0061486866
479,1380,0,9,0,0,9.0,0.006521739,0.0
480,1801,8,27,20,0,55.0,0.030538589,0.0044419765
481,2622,0,0,0,0,0.0,0.0,0.0
482,2290,18,0,0,0,18.0,0.007860262,0.007860262
483,2020,0,0,0,0,0.0,0.0,0.0
484,2328,0,0,0,0,0.0,0.0,0.0
485,3014,0,14,15,0,29.0,0.009621765,0.0
